Iso,SignedP,,,,,,
AIPGENE16351,-1.214182585,,,,,,
AIPGENE13045,-2.17644363,,,,,,
AIPGENE28782,-1.659151362,,,,,,
AIPGENE27652,-2.12521425,,,,,,
AIPGENE12335,-0.478084833,,,,,,
AIPGENE17752,-6,,,,,,
AIPGENE21528,-0.50208429,,,,,,
AIPGENE2135,-0.515553433,,,,,,
AIPGENE18959,-0.722522485,,,,,,
AIPGENE22099,-6,,,,,,
AIPGENE19077,-1.472501266,,,,,,
AIPGENE107,-0.465746976,,,,,,
AIPGENE15389,-0.902108485,,,,,,
AIPGENE24917,-0.960138004,,,,,,
AIPGENE21516,-0.529200792,,,,,,
AIPGENE12854,-2.479932741,,,,,,
AIPGENE28725,-1.67935837,,,,,,
AIPGENE11100,-0.792061415,,,,,,
AIPGENE24065,-6,,,,,,
AIPGENE9460,-0.574764125,,,,,,
AIPGENE17701,-0.637387625,,,,,,
AIPGENE23265,-0.506838895,,,,,,
AIPGENE16399,-0.581254354,,,,,,
AIPGENE13310,-1.113805422,,,,,,
AIPGENE9507,-2.385456344,,,,,,
AIPGENE17221,-6,,,,,,
AIPGENE28094,-6,,,,,,
AIPGENE1997,-1.398021425,,,,,,
AIPGENE17165,-1.952799278,,,,,,
AIPGENE3305,-1.202963814,,,,,,
AIPGENE18751,-6,,,,,,
AIPGENE4058,-2.090902457,,,,,,
AIPGENE3838,-1.264808562,,,,,,
AIPGENE28553,-1.445934444,,,,,,
AIPGENE23419,-6,,,,,,
AIPGENE26469,-1.302497162,,,,,,
AIPGENE5419,-0.28759393,,,,,,
AIPGENE1801,-6,,,,,,
AIPGENE5636,-6,,,,,,
AIPGENE13763,-0.304526906,,,,,,
AIPGENE8556,-0.708790398,,,,,,
AIPGENE10631,-2.61811342,,,,,,
AIPGENE4977,-0.473996995,,,,,,
AIPGENE7330,-6,,,,,,
AIPGENE23469,-0.535270518,,,,,,
AIPGENE21344,-6,,,,,,
AIPGENE12365,-0.473264146,,,,,,
AIPGENE17491,-2.077560004,,,,,,
AIPGENE3928,-6,,,,,,
AIPGENE12426,-1.216695223,,,,,,
AIPGENE20759,-3.0925352,,,,,,
AIPGENE28612,-6,,,,,,
AIPGENE15369,-0.439507851,,,,,,
AIPGENE17806,-6,,,,,,
AIPGENE23157,-1.116631668,,,,,,
AIPGENE21460,-0.73447574,,,,,,
AIPGENE18030,-6,,,,,,
AIPGENE21849,-2.983365952,,,,,,
AIPGENE7007,-0.429460533,,,,,,
AIPGENE3379,-2.62490146,,,,,,
AIPGENE21474,-6,,,,,,
AIPGENE13159,-2.764426574,,,,,,
AIPGENE20262,-0.689224168,,,,,,
AIPGENE4843,-2.961039014,,,,,,
AIPGENE16671,-1.093625618,,,,,,
AIPGENE11184,-2.304469888,,,,,,
AIPGENE20649,-1.264277968,,,,,,
AIPGENE23962,-6,,,,,,
AIPGENE19100,-1.281949048,,,,,,
AIPGENE5882,-1.642074227,,,,,,
AIPGENE20480,-6,,,,,,
AIPGENE26908,-0.377503115,,,,,,
AIPGENE29151,-2.913209264,,,,,,
